Exports of goods and services (% of GDP),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,860845839","45,6549401198","86,2040206635","57,4324238296","24,7225995856","27,9008665534","29,5157034452","29,0218802956","22,7023178006","27,9835789705","39,0413590959","40,9230417855","42,7685232319","42,0108749136","48,7874798142","62,9364301378","66,5062305541","68,1309403528","65,7774117012","51,5828656545","53,9700148122","62,7997767872"
Bahamas,,,,,,,,,,,,,,,,,"82,6507669004","82,6645804901","68,8717280156","70,3811894347","67,3817049816","65,7859729423","66,5685614035","63,5882618025","64,7907985607","63,8180000979","61,3227748892",,"53,8314826911","54,1607706886","50,9510921971","50,2470247668","51,9666882277","51,0214789813","49,5491396909","48,0376835689","42,9961466355","40,404040404","42,5020249264","44,3561743941","39,7220903805","42,173924791","41,7484193051","44,5519594081","45,1859549336","44,6616119237","46,7392940206","46,0414835115","40,3945638492","41,4739801458","43,4465992613"
Bahrain,,,,,,,,,,,,,,,,,,,,"124,1084541676","131,129679733","118,9816212431","96,6818524637","96,4862103422","101,7697204452","98,7104643711","102,3678897221","95,337980785","98,6438978753","115,5558309859","85,0031666302","84,3819937304","83,8745986212","81,1932700887","81,9905438062","87,9135257114","79,076780802","64,6036706949","78,8672454594","89,4357474104","82,322554676","81,9238238426","81,8772169168","92,0014202864","99,5317038471","98,7871772935","93,729933628","96,8489690847","81,2935378177",,
Bangladesh,"10,7823532371","10,7467513711","9,9834852365","10,0284123361","9,6627165886","10,2842807707","9,3061419916","8,3308090073","8,1459925226","8,3131128858","6,291487368","5,6747305175","6,5394092792","3,7010754767","2,8950788967","4,7460817669","7,0407519539","5,5576631581","6,1092194771","5,4942837873","5,2701343532","5,2087134406","5,7422338039","3,2799972233","5,5501971727","5,351111364","5,1650998817","5,6273744295","5,7472619521","6,1220692328","6,662620259","7,5866793562","9,0172663244","9,0015438438","10,8646328074","11,084328703","11,9934406892","13,3286831831","13,1936652782","13,9800198663","15,3817999388","14,2759726355","14,2138152193","15,4648528665","16,5813162417","18,9736604159","19,7766917282","20,3396013062","19,4276240283","18,4061684144","22,900858311"
Barbados,"45,0563204005","51,083032491","55,0802139037","52,0990312164","58,3926754832","62,5294950448","60,3441040705","63,2556445739","61,5932642487","59,5041322314","61,2310747084","64,8528099911","60,3154652624","62,3086797398","50,3815854259","44,8935195787","49,5873590982","58,0755395683","65,4279787772","70,1317469597","59,744827983","63,8291489447","70,5130602045","71,9298285596","67,7496995859","56,5343900089","45,9930646205","48,7125699535","50,3049239384","49,1047031983","47,4479854315","55,2407963284","57,7400798835","57,7877573276","61,9688126791","60,8595366067","56,6254678626","53,029981035","51,2820470512","50,4699360953","51,2061149628","50,862123417","51,0950448383","52,2475424929","59,3834890183","60,1336129749","59,4548975015","60,0455235554","60,6167496995","47,3439591191",
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,9584295612","36,8541905855","59,2861005949","67,6369098364","71,2699233415","49,6653284197","46,3499639281","59,8598642805","59,0511351312","59,2033571534","69,2108213449","66,7476067361","63,627515944","65,1563799064","67,8863333587","59,7978087236","60,0613117691","60,9430527153","60,9377552184","50,5297499603","54,2759099954","87,8919185758"
Belgium,"39,0131747176","40,5730913202","41,7125390253","42,4975544033","41,9832709984","43,6661054949","42,6867324128","44,8669093217","48,8002811997","48,8773677941","47,5848672932","47,9869373689","52,2212944451","57,5067221389","49,9208380603","52,7893001946","51,6508378347","49,7529798431","54,276678471","54,4885144257","58,7789479834","63,1710882526","65,6633392425","70,0304039989","67,9016000928","62,2792831081","60,7405550453","64,5896625013","69,1110471754","66,987643193","65,4828917103","63,9382515503","61,0014642055","63,5207899632","65,3575533721","65,6230807752","69,7904674188","69,7023322956","69,9577606886","78,1411482401","77,8497553916","76,6938426029","73,933668167","75,9367908626","78,6781353502","80,7636695533","82,5463424802","84,9328040419","72,785135147","79,8969462969","84,3430601672"
Belize,,,,,,,,,,,,,,,,,,,,"55,378690629","53,3955417315","47,9776847978","49,0740740741","62,4466571835","48,481950753","55,5189817863","60,4592262978","62,0196887901","59,7411511611","62,2200726196","54,2700138846","49,7286411898","46,6990217362","49,8407887378","47,9694137866","50,0121927696","52,7886682434","52,5906293984","55,0663447682","52,9927601636","50,8671137855","52,5553859076","53,3023529861","50,6451353919","54,6273824946","61,3524752643","59,879526094","61,8665199853","15,7561156412","58,3732570611","65,5716753022"
Benin,"4,5834895022","3,5178232178","3,8213602797","5,13733827","7,2675631169","6,8465449373","7,6658220205","9,3346426314","11,7732192406","15,1765798555","17,785798533","14,3844022571","15,6619756366","14,3167561136","14,5282459152","12,9912463385","16,1789025942","16,5250882012","17,5163794866","15,8165128871","15,9305004565","17,7710358408","13,7642891915","19,5793753234","23,6526183465","16,6759209529","15,2675281291","13,8037392074","13,4954289728","14,2899743939","15,5496054131","14,827785115","13,8279412451","20,1812137676","20,1534229621","15,7898642506","16,0783969307","17,0904347166","16,141601766","15,1800178475","15,18450904","13,5432105075","13,6805454809","13,3196146291","13,4645147026","11,3539058082","16,2296377111","15,2409276215","13,9962693767","14,2848346777","14,8771134739"
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,9425548226","30,2299776377","28,7592973223","26,3412968503",,,
