Exports of goods and services (% of GDP),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,"21,7799157375","23,5893671725","22,8775905502","25,2618657177","23,4695166717","25,1329163384","25,4450896129","28,3983859047","27,1426809885","28,2197877873","27,2523470053","30,6689544315","31,120600509","33,5305743734","30,062007384","28,9089544451","30,8689102385","28,1811900294","26,9228314838","26,4778837115","43,2683558652","45,0838978923","29,9226326544","29,0042172181","27,1202318555","27,0257951707","26,6787008505","29,3484766016","30,2698448385","30,2188559417","33,5606814324","35,216247755","35,7734707653","35,5610171395","37,5554488297","39,3149346647","40,7475184913","47,4639106782","51,7449028565","48,6229216132","41,4772007173","42,3863564393","46,669107501","46,2559544591","48,5000533362","49,1290601345","48,7110642058","45,4352002468","42,2803010036","38,0593570295","37,3840577366"
Cote d'Ivoire,"35,2925194349","34,3926245715","33,9354516871","35,8860300438","36,8234112965","36,4069906805","36,2237193333","40,6998720876","36,7617975688","35,7693255044","32,2099926934","33,5121208202","35,7538908116","45,6968875723","36,7285825475","41,7414702609","42,6260418403","36,5212030721","34,6033223651","35,0016293314","35,1750034915","36,4232286837","36,9598599158","45,3119276971","46,7749129817","39,495908409","33,4299901983","30,4881284923","32,0333356381","31,6898746716","30,0117263455","31,9094869289","29,4424528745","40,527401864","41,7592996637","41,1009950896","41,4197992165","39,4133481853","40,3505367999","40,4276834711","41,842925706","50,0282942098","45,836610864","48,5557976024","51,0520458975","52,6505826516","47,815929995","46,5120462444","42,1950719794","40,6443353316","43,7400329068"
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,6515065662","59,632297059","52,3908945205","45,8437396162","33,1276107715","35,8926219317","35,6751373565","35,2991586753","36,5294090296","41,6860468232","43,4282681878","40,92579484","42,5661856563","42,9323048339","42,349249655","42,8412355678","42,2848891787","42,0644640987","36,5996882199","39,3581693433","41,7799966245"
Cuba,,,,,,,,,,"32,6253590572","32,6257613332","32,6263050704","32,6241164845","32,6137488765","32,6368635048","32,6277727316","32,6290237465","32,6131735805","32,561910827","32,752436628","32,5823188759","32,635278819","32,5339227423","32,3055970529","33,7050656576","31,7317300997","32,9000785378","32,0271423605","31,1639686105","30,2390454474","21,9311796429","16,9182668437","13,1942098098","13,2397139329","13,4015117029","15,313403125","14,9237962328","14,2524653606","14,5371281108","14,1301218379","13,2353637405","11,5271029818","12,9518265254","16,0218622719","21,0178640941","18,7131342893","20,3364986733","20,5676394841","17,9364982514","19,6135454693",
Cyprus,,,,,,,,,,,,,,,"35,486381323","49,7454327643","47,8137556133","42,3297137216","44,6808510638","45,2584487067","50,2511415525","50,9220427647","50,4090774935","54,6582895931","48,73835979","45,037167494","47,2868234054","48,0785602793","51,4599678585","51,500564855","47,0856520731","49,4569596184","47,4913732556","47,6894842085","50,0129034725","50,7700882362","51,8320575618","49,7889859998","51,7507277417","55,3576460622","55,9853188472","50,7527882343","46,9668046779","47,7824842927","48,3194167869","48,0049239219","47,9438251779","45,4387690172","40,2690900507","40,1145147438",
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,3672475296","45,9498514748","47,6610383208","47,7556458306","44,3593056909","48,0818032445","46,5089294838","49,7657725527","52,2507009187","53,3303552317","60,9340441468","62,6172117489","57,6417802324","59,0898437936","62,9802981732","64,4342535124","66,9745868878","68,215761064","64,4479148531","58,9524285844","66,4573436328","72,5472943247"
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,"29,9969634721","28,61945852","30,402964801","29,8521605316","29,2971283601","28,551948937","27,3355832798","27,6631535298","27,5513295417","28,0368724333","27,78868671","27,3669995923","28,7430898077","31,8971285745","30,1994189292","29,0127337873","29,0546737815","28,0576155599","29,7448159294","33,2128539612","37,0799501474","36,884631675","36,8883766632","37,3290816711","37,4498103432","33,0488864211","32,4008943136","34,3061585147","36,1842473237","37,1537195116","38,5440600757","37,8505286263","37,365610561","37,6919888018","37,52742645","37,829596966","38,7344632969","38,1697554604","40,6604844113","46,5075894751","47,1937562659","47,1872616532","45,3029901713","45,3180373488","48,9890031238","52,0698258644","52,2184745267","54,7348432994","47,6424654161","50,3664721688","53,4088968126"
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,8377523069","53,8377578572","44,5498522852","43,9834545907","41,9289682835","39,1448855928","38,5181388462","38,8253335721","40,4458828704","37,3160412164","35,0562903395","37,2955629869","38,5712980273","39,9121124844","36,970813094","40,6107810669","39,887299206","57,0882522745",,,,
Dominica,,,,,,,,,,,,,,,,,"41,2423625255","42,7189242375","28,0100334448","21,9966159052","34,5656915935","41,2254549193","41,1492122335","35,6156478008","36,5429408671","53,3278255122","53,2303453128","54,6435862491","47,1420618814","54,5438330935","51,1617882507","51,9826154868","48,5613452904","49,0579984704","49,8131948984","51,3439849624","55,800846883","58,6609142272","58,5696500207","44,5384334988","36,6365225677","37,6661576008","34,7445361329","35,5548907958","35,772081989","37,2508351536","35,3052535817","35,1226362064","32,5364878788","35,983059742","34,3631361701"
Dominican Republic,"23,2533194916","23,868463492","20,7270436363","19,6957902896","16,3044708048","16,3431237697","18,0807885582","18,4876280311","18,4802930446","17,2276820368","16,4726356217","20,6712628498","21,8791325544","24,9350571507","27,7164996914","20,888799245","20,0104641273","17,3424932976","20,6390474573","19,1675471533","20,8201455343","14,3395274145","14,4050102246","28,2080068943","28,1524416437","24,3596537058","25,5640167733","33,020730805","33,4684004691","33,8264229537","40,1188566428","37,0728700509","36,7408299739","36,7079358325","35,7655932057","35,1951154947","36,216014713","35,8264253598","36,5682381694","37,0474880499","33,7272084268","32,4796823635","43,0781200115","42,3275493357","30,0305391558","29,9911102848","28,7768975209","25,4861363306","22,2479819362","23,0318187102","24,9217501726"
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,"16,4932126568","17,8897207833","16,2460725775","15,65425069","16,2489903314","17,7044269566","16,7923227726","16,944801027","14,0391254315","15,2329749104","16,3063613072","20,041428647","25,954493506","36,5766671722","25,9625743303","25,2814919198","25,7873442503","21,620577777","25,866027379","24,9516602272","21,978809622","21,5878080017","23,795046433","25,7534488582","28,4917621859","23,2217353903","23,4194610776","27,0398083113","29,045469233","32,9823232128","35,4050970521","36,0270200729","25,0929853348","24,6379143194","25,727868498","26,3870606232","25,6303929394","21,4878537875","31,528127482","37,0653936523","26,7457071076","24,7036616199","25,6879266867","27,4107443871","30,9043401206","33,8538399548","35,075846698","37,8620565282","29,5415306269","32,9494062898","32,9494062898"
Egypt,"17,2066492749","17,1617217023","18,6632776749","18,51851487","17,5377113441","16,9496325834","14,6458442541","13,1908056671","14,2100989962","14,1838869997","13,7916138221","13,3484762302","13,9820826898","20,511639534","20,1801461447","22,2684701315","22,4832214765","21,7457879573","29,7284518128","30,5146374207","33,3718239888","27,0343086554","25,4820023424","22,3512478724","19,9142831128","15,7315667723","12,5587106225","17,3183872458","17,8934794473","20,0475984996","27,8156013573","28,3968368081","25,837628866","22,5714285714","22,5490196078","20,7497820401","18,8416698007","16,214335421","15,0520156047","16,2011173184","17,4797881238","18,3161782627","21,796407199","28,2299607","30,3435470049","29,9498138875","30,2497314715","33,0429927415","24,9568221071","21,3492458147","23,3147844943"
El Salvador,"22,2934741607","23,2324949014","24,0431027377","25,3781450613","26,386548117","24,6621919363","25,6381879207","25,3485976689","23,1865837462","24,834939521","24,6315721135","29,0950518175","29,96006576","32,4177011338","33,0467276209","35,5438334071","38,1651044521","30,2663704274","36,9715119832","34,1615477553","26,6786901953","22,7774040283","24,4885177864","21,7541398539","22,3237654512","24,6681633937","18,992304165","15,8106818422","13,2377883078","18,5559748841","17,2140836193","16,0896939443","19,3552074618","19,9659074526","21,6374972483","21,0758799482","25,8941114364","24,7897325057","24,9364300421","27,4003312858","25,8312177565","26,3666673656","27,0677291366","27,8327414975","25,6397056243","25,682049734","25,8827450025","26,8816200831","23,196844296","25,9129452723","28,0856767343"
Equatorial Guinea,,"68,1370823193","62,8012048193","62,6023313761","42,1117660686","43,8190324603","42,425329626","29,6233601354","36,1043818267","35,6995175741","46,4670419788","34,7902596785","38,3394280158","42,3395559483","42,9809764","47,0013122413","47,0116848755",,,,,,,,"30,0934726772","35,4617653438","37,2443376378","40,1743036526","36,670973953","32,1524481066","48,2344575135","1,9457988644","1,9719928396","56,0223408104","55,2042001175","77,5777215717","100,8221642193","101,7478616586",,"99,4558668181","101,3542548589","99,6188726164","96,8492563641","90,1305541635","87,4173831312","86,757910925","81,8922063998","78,8065007927","69,7976527621","69,8993759944","71,3935203437"
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,4236063475","30,556690918","28,0196629213","22,388019355","29,2337703579","29,6148227877","14,8344829685","9,5344075492","15,1187196642","11,8250926871","12,7202381615","6,4424402038","5,775429985","6,1664691943","6,8993663409","6,5298065535","4,4344957587","4,5293726136",,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,0731816605","61,8798503421","71,7431913388","74,5594947827","70,4444170735","84,5943800397","79,8271951708","70,9308142294","69,1901501336","73,0745761347","77,7182360464","72,7001374078","67,0721993354","71,0479147033","65,0542447517","79,4291579102","91,509209223"
Ethiopia,,,,,,,,,,,,,,,,,,,,,"7,6320243468","6,7982632242","6,4895212045","7,6154671007","5,8363771127","6,8699252072","5,9674423428","5,8769349852","6,6021114863","5,5602081304","4,064039646","3,2122252014","5,7821194888","7,1216170164","9,6890706421","9,2641215241","11,3653766962","12,869463932","11,7268982786","12,0332757172","11,9992895468","12,6043097153","13,3170426128","14,9017519259","15,0996375205","13,8823879028","12,7281786465","11,4041262103","10,5775195018","13,6231756125","16,8427303919"
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,"30,6781485468","35,6557377049","51,0700389105","55,9352517986","46,3184931507","43,4419381788","44,5718654434","47,3936899863","49,5291902072","48,3837330553","49,7876356772","45,8859548412","45,2852369276","49,1333333333","42,9943003142","37,7065130064","43,9175783188","42,651666192","45,2710518658","47,7787994442","43,0221548949","43,2318345311","43,6088394406","42,8291482788","44,3600455754","41,6638073476","45,318045318","54,2958004535","62,6696209668","62,3434343434","57,3114593536","51,9176475698","52,3775530438","56,421194432","59,2912050236","62,8480589023","61,0399920611","60,8044475499","61,022664889","65,1585194806","60,6738284945","61,4847155504","59,8672011782","53,8147614544","52,9091891781","49,8318336186","48,2806151862","51,2243997647","45,5551826348","53,8672428977","47,52220236"
Finland,"20,009539017","19,9202838835","19,0730336089","18,9698084684","19,0117305039","18,6973418368","18,524236821","21,3040894266","22,7032684355","24,1571598054","22,8395318453","23,9376258291","23,8881497451","25,9897805134","22,3998223998","23,8302449518","27,1742522177","28,195412955","29,9343362401","31,1934329615","31,6839584996","29,2174940898","29,097586346","29,9216036142","28,4448011725","25,8384690237","25,1581018762","23,9897616806","23,3785338886","22,530117784","21,6553035193","25,9689408817","31,8170984579","34,7959368354","36,47255996","37,22649827","38,7604768113","38,5763647744","38,8314353218","43,5765346647","41,5075239791","40,5274076549","38,7003456308","39,861820761","41,7610478374","45,4939221187","45,8115998443","46,8347067378","37,3449088313","40,2721537395","40,7011744329"
France,"13,919186179","12,8329879564","12,5957667652","12,6368545647","13,2292212463","13,2884135319","13,1449321781","13,1742493206","14,0116224489","15,9705851279","16,4947372532","16,6672922016","17,5840229962","20,72977092","18,9601228274","19,4554113588","20,3263250709","20,5818775398","21,1071544519","21,4000004497","22,4199183927","21,858053919","22,8914208076","24,3317494973","23,8125921634","20,8024184149","20,0214869564","20,8094700022","22,1454736403","21,4812343959","21,8112090099","21,8080659937","21,1981589042","22,0331605466","22,9552982665","23,3875883605","25,9256638528","26,4677002768","26,3544232645","28,8138285816","28,3602778744","27,504534562","25,9110481517","26,1435958259","26,3596397537","27,0235170456","26,8563774492","26,9488592718","23,3689628401","25,565686378","26,9556018937"
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,3198918004","1,4230823356","2,4532104297","3,6654854398","2,9326234282","4,2022815191","4,3542818161","4,0888052418","5,0160000358","4,8965829052",,,,,,,,,,,
Gabon,"31,211692983","31,7142573506","47,102995119","41,8918697922","43,2432432432","39,7351059164","48,0539071856","48,422483286","54,6554602014","49,7206592803","66,317697431","73,087437788","58,8454314091","57,5464083939","49,5242214533","45,5847587262","51,5937409447","61,7581602374","58,485882718","64,7201946472","63,3635064316","61,5947514509","61,3247697903","59,0926616116","62,5724758414","35,1913124629","42,6949203875","36,7305839701","45,795582179","46,0385042577","47,2634592924","46,0755528583","48,7946135128","61,6756399787","59,3869990304","62,6632449876","61,304010807","47,4063516068","59,6125043539","69,0321767086","59,0321301415","53,5640055859","55,3351709244","62,2035443158","64,738257236","61,9310128899","62,2477959472","66,5672140871","56,1438936933","60,2857840165","64,5566643231"
Gambia,,,,,,"36,1706700443","40,5214655776","39,9904373178","40,3928841658","37,7915594309","32,3672104803","33,7730574324","35,10261875","38,9730616229","44,7085944778","41,0568524571","36,7354956895","33,6812232143","34,959552341","42,7362071225","43,961095946","44,3343878812","50,4882953991","51,1249439899","43,864853866","46,6241493466","49,4180871348","50,3657153046","55,0599814509","59,9027368013","29,4389186961","30,592706127","28,1920148242","21,2396184489","23,7756488088","21,7986717191","22,9322031625","25,3055744116","24,397360511","25,7986740987","21,8207981905","27,1573844716","31,0937861857","34,2249020153","32,7573992768","33,8470801315","28,8912408175","23,4529472613","25,3495092087","23,490836363","28,862779086"
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,5611814346","42,5357873211","42,3693379791","39,9465597862","27,7806788512","35,6721619086","46,8887411645","57,7720985828","25,5018948414","13,326288939","15,6101316831","16,4587245273","19,0556058991","22,9946300674","24,4613732949","29,2291741631","31,8376173432","31,5557490292","33,7482422346","32,8655475231","31,2057156367","28,6199722053","29,7394114048","34,9511326618","36,4511262512"
Germany,,,,,,,,,,"16,4298314881","15,8126223718","15,8049077544","16,6760969664","19,8056951039","18,5824654085","19,6262012395","19,5265569592","19,1538205951","19,3578615894","20,2229842351","21,866793311","22,6652047851","22,0368323792","23,5943583775","24,9121708271","23,1182173627","22,4621457174","22,904215728","24,217788485","24,8001293749","25,7005082758","24,0148022325","21,9918675231","22,834698687","23,7408709765","24,8037333333","27,3983059709","28,5829463693","29,403559644","33,3846153846","34,7890004282","35,6706687928","35,7196740396","38,5498929726","41,3176586945","45,5136349885","47,165328392","48,1522354273","42,3895556959","47,0050476725","50,1739566458"
Ghana,"26,1346526135","24,2147922999","21,1779676422","19,8996926064","17,1235679214","14,6206533193","17,3967954818","20,3211394545","19,7230966006","21,3251883118","15,7608480321","20,7004338015","21,4497894281","18,3257866228","19,3564269764","15,7089888474","10,4941148024","8,3588665263","11,2323718115","8,4663493458","4,7558724689","3,3383072663","5,5559180856","8,0440132768","10,6544322693","16,5760499038","19,6626090871","18,1834226954","16,7426186027","16,8779041895","16,9635265199","17,2259395236","20,2539300232","25,2586364496","24,4964405356","32,1121806715","32,4102939965","33,871352193","32,0783392015","48,8022588012","45,2330164063","42,6162524538","40,6790422763","39,3033252866","36,4492169507","25,1927170349","24,5250023204","25,0294297297","29,2910887044","29,4046672002","38,0151159405"
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,"8,6544989973","9,0624528404","9,3504775943","8,542383978","8,3635087296","10,4989522772","9,9363811819","8,9447004417","9,0641534074","9,6784027903","10,0147333185","11,2094104344","14,2881455342","17,453588992","17,3626766091","17,2485190809","17,1644773866","16,762388787","18,6298851973","23,7254871022","26,2613010349","21,1287877659","20,2288768998","20,6276846742","19,8085610749","21,7247694166","22,2521631971","20,0305197458","19,5776859676","18,1446804181","17,4338644812","18,2677644916","17,2474009249","17,7358584195","17,7109031914","17,6150391923","19,7968333163","19,9561484021","22,543644377","25,7269863253","24,8659866156","21,8064089147","20,7094720462","23,1307286097","23,209882968","23,1509129706","23,7890541863","24,1302364283","19,2633942995","22,2433124977","25,0549322715"
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,"50,6355490727","50,3344664985","51,4542445022","47,3511693834","44,7113358618","40,2146857498","38,5333164397","37,9453002081","43,0424377869","53,0051671731","47,9934443657","47,0456005138","40,2760394938","42,4282542493","40,7104746719","39,5855157669","49,0291549044","48,0560271647","44,8069705094","44,6628789783","43,967253617","46,1856118235","57,4341804097","45,0500815738","37,6726003082","31,7097610384","30,1062861365","32,9555129855","21,254149484","23,0299508002","24,7358502012","22,8018701779","22,4638165378","21,4501861904","22,5702359293"
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,"11,9531913695","11,7873382302","14,2857142857","15,3875771513","16,7868417263","18,940101671","16,2091499699","16,7339338935","17,8034284362","18,5714285714","17,2863764611","18,9073433613","20,8819855703","22,4070859247","21,7230311596","21,5723986823","24,455797413","21,4756354688","21,3484767915","22,1864012197","17,0897474851","14,7871972389","12,9944745868","13,0021114188","11,9482291923","16,0518997566","15,8489082209","16,1036751558","17,3074488623","21,0275209424","17,9526059617","18,0659894301","17,7030311068","17,519944948","19,2590440307","17,8101172991","17,956108023","18,1716066211","19,0049241254","20,1950343957","28,2074571806","26,2989610281","25,7736975858","26,9755161859","25,0546746264","24,9317230844","25,5652790475","24,7182645169","23,9753921367","25,801388901","27,1415433474"
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,"31,0918998786","31,6313529877","26,8725854952","31,0936007642","31,0752357946","30,3308789186","24,8746135406","26,5184739211","22,7523273532","21,1188077612","19,1951011385","19,5610874811","21,2867043616","21,6395182613","24,5238730446","28,5786627532","26,4778105822","25,9567433485","24,6259751806","34,7856530874","40,5900069676","28,7647657213","34,9327167555","26,5376633767","28,3501064135","30,2919204567"
Guinea-Bissau,,,,,,,,,,4,"4,1580268471","4,355616367","6,0598103574","5,0184445128","5,1849061621","5,2725755148","9,3043458034","7,7347081837","7,2722292764","12,687595157","11,1931325043","7,8402171525","6,0091638505","13,401197755","9,7580053462","5,2352248829","11,3670049927","12,440894793","8,8907194235","9,9359889933","9,9824873567","4,9024898432","8,8694363601","16,4544077524","11,6671696703","10,524404022","21,0167632387","14,4436976127","24,8611766474","31,7752912317","28,6056946757","29,8190950433",,,,,,,,,
Guyana,"52,0715630885","56,6427289048","62,9273149685","57,1129080563","55,2551724138","54,9897119342","57,4418057842","58,2372143634","59,2458884878","56,4600448096","58,4116324573","57,4670479542","52,1867245658","68,3460716591","74,8799979822","66,0769345255","63,2079619253","63,0827473524","59,8069565748","81,2864679045","68,9229853545","52,7800829876","45,8787487738","44,1611528405","48,0871778462","46,3041501967","79,5683420166","63,6297732587","66,3407610511","62,7066703683","105,9076561162","127,5553080459","117,3799812414","104,9519746855","101,2105683858","102,621309241","99,6600655633","95,9327549383","96,5084717132","96,0799732537","94,9932691166","92,7721427763","89,8138467603","95,7931670884","84,6228685983",,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,3114454832","7,5715114032","10,8453501425","6,4207265559","9,1335412114","11,3278737727","10,4527358578","9,900471451","12,2491119647","12,6952822892","12,3617269545","12,1272386949","15,8202374789","15,3539857679","14,039932157","14,4855286713","13,2397437645","12,7311544754","14,1829763767","12,2504629998","13,6697269279"
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,"22,318921954","22,4887160288","22,0867869332","22,4726477024","27,2682591173","28,6207828749","28,5236590142","30,411254659","27,9790405759","27,9114799447","29,6853625171","29,2652564589","32,2191792121","32,1411309812","30,6939501779","33,7166188115","34,8307902453","36,1751755157","37,6859876553","37,2369441966","31,6368150381","26,6747026507","26,1618462259","25,7005122025","25,099602035","26,5852695679","22,9620712185","26,2890498325","31,0044509417","37,201882428","34,5224960157","32,170212766","34,6820044956","39,8378490749","43,6985096115","46,8521659025","46,186461408","46,4223856441","41,0228805645","53,9722104561","51,3816606793","52,7305620544","54,0940049633","58,4229792105","59,0054227501","56,0546316626","53,5090139534","51,3252805252","40,7605908966","43,8711721743","47,574820979"
"Hong Kong, China","71,6261881318","70,2648897747","69,1096943211","68,8453650713","68,8239088368","75,9067357513","80,6268174475","90,2135123692","94,9683593147","93,1879165585","89,3557212998","84,3882904417","85,4211532412","86,6342082981","83,3995442538","89,4420165938","83,3619889744","85,5843883332","89,6318250792","88,9332191423","91,0558941801","85,9018902579","95,8818304408","106,5689028673","107,1740349767","109,3016145386","119,7775920156","129,7668191454","130,1270319332","130,656680951","134,1877819775","137,7618227547","135,0567663076","133,9444174503","142,9349797946","136,3638497824","129,3319486149","124,2658289974","127,0222855392","141,7640809241","137,1215963159","147,362721135","168,131305857","186,6527101657","194,6519606975","201,800710546","203,7218098859","208,7766993248","190,9024887825","218,861631753","225,4914879379"
Hungary,"22,8170747506","24,1990952079","25,1676693594","26,0904969002","29,0279201357","28,2632130186","26,4862123304","26,238792796","28,3403219499","30,1336949854","30,0332273789","34,1198588091","38,1929390265","41,6072685478","41,2044604415","38,2745862176","41,0864903503","38,4124099208","41,0900417552","39,0927713233","39,519971484","37,9549483353","40,2416644075","41,0811523461","42,1977094939","39,6385929464","37,8671200372","36,8236779036","36,0369809494","31,1444000971","33,1904519123","31,8598218115","26,7569712572","29,3055184436","45,2128371849","48,9662562595","55,3555442832","61,7496671499","64,6169629418","74,6043772324","71,9841129753","63,2500584862","61,4064712891","63,3457033524","65,9471131332","77,7441739156","81,3045590428","81,6598418822","77,5906879426","86,5450557884","92,2658350589"
Iceland,"41,401602378","45,0345798554","41,16182707","37,0674206412","36,2350402883","32,8493203092","28,0545981305","31,5862048986","43,2032128353","44,9823891386","37,4349268758","35,0151854338","35,566607404","31,4130288248","33,2879029586","34,5385742808","32,9231791","36,5233502259","37,9471014048","35,4933112656","34,6207927902","32,1819232739","39,6912845701","38,0117336801","40,2506981485","38,5892325703","34,2816454017","31,7613509199","33,5312453535","33,646434424","31,3024451454","30,3004808588","32,7742746667","35,768039087","35,5270071756","36,2840504141","36,234336696","34,7182260829","33,5837026171","33,5763302508","38,7996894438","37,4311638192","34,2906504508","34,0704865735","31,7341266222","32,2420767952","34,6456597247","44,39983918","52,8422125585","56,3331630669","59,3165855181"
India,"4,2294152163","4,0971242867","4,2067302362","3,6613424532","3,250469513","4,0711550833","3,9649125867","3,9691640397","3,6498358909","3,7176292449","3,6040020721","3,9580767328","4,1362264636","4,7480546838","5,5497367923","6,5712728856","6,2731598266","6,2059911796","6,6333102363","6,0337378718","5,833721048","5,8801795308","5,7370196909","6,1751089181","5,16399437","5,106666391","5,5079876701","5,9312046136","6,8952094478","6,9317879297","8,3478451644","8,6905218211","9,664727766","9,7176668383","10,6570756078","10,206184099","10,5064661196","10,828569279","11,3158361691","12,8248305451","12,3814376442","14,0499173637","14,7089376829","17,5513361415","19,2801488317","21,0694751953","20,4308943344","23,6012452633","20,1326180031","22,7712577349","24,6359413686"
Indonesia,"10,7110467742","5,8129025039","10,1658977846","13,7321836344","5,5275781369","13,3669573534","9,1950125123","11,3888853015","9,4513935681","13,4510065001","15,0376670806","17,4937236018","21,0394076065","29,7955450809","24,0088460186","24,5298548695","24,8444683234","22,9125397849","30,5623603935","34,1789969325","29,0402214187","25,3032939009","26,34251789","25,5871109092","22,2007308707","19,4872360449","23,9342584151","23,7760208094","24,2866484571","25,3285128325","25,7972393315","27,8914366214","26,7547883649","26,5114276271","26,3121645768","25,8245523827","27,8592627914","52,9681353606","35,514128704","40,9773085458","39,0321334466","32,6876211623","30,477655734","32,2166931957","34,0672668843","31,0347163143","29,4357184851","29,8082841674","24,1591195221","24,6209932938","26,327380327"
Iran,,,,,"16,2798149024","16,5161756199","17,6186150193","17,8613762914","18,5441044455","19,1635150003","24,0561051316","24,1064839278","35,1543467075","49,4318783983","43,1419092238","39,8380822108","33,2120363213","25,0965425291","28,088049115","14,4109761557","12,8186714042","17,7315356499","15,4532688372","12,0072473107","9,3888966309","3,9296364322","9,60898555","7,7165345934","10,1541097214","14,5239230327","14,9659006321","14,5139710568","27,4067403142","30,3543091398","21,7085510592","20,8361185814","17,4275618695","13,6287208081","21,4162329599","22,7074581125","20,5038894482","26,5379502626","27,2339152795","29,0472763067","33,0566090941","32,4507442183","32,1789541755",,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,"32,1040508194","29,9083905379","31,1156182656","30,9639587065","32,2825684817","34,5363334338","35,1014495577","36,0214142449","34,6197718315","34,3412474605","33,5445952178","32,1040026936","35,3038802216","39,5464167842","39,6651318162","42,9735909625","45,8863377539","46,3883207711","46,1916432835","46,0372081446","45,0129156037","44,661512252","48,7271274337","55,3230806377","56,0781929896","50,9529950901","54,4198217549","57,6914490322","61,1532233223","56,7718009883","57,6804778984","60,6107195776","65,7595591547","70,5260461296","76,2959252724","77,3851916838","79,4990681646","86,9029784003","89,2321943816","97,3455031835","99,1451038229","93,3711020894","83,1115000543","83,1550597553","81,0748570729","78,9168444132","80,2330523296","83,4385713533","91,141175432","101,1652802185","106,618084213"
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,"11,5340285204","17,7984040518","18,6491325974","17,7296053517","18,8535031847","19,9413735343","23,6889991729","29,8044309735","29,1593695271","27,0329202787","30,7472123724","31,3256628314","30,0505571605","30,0884797569","32,6344202945","38,9465912883","44,5656706046","49,5725415877","47,4353787368","43,779342723","42,4985291234","38,1487045416","35,3804396179","40,5840776309","44,660126491","39,4514718851","39,2049088287","35,1020927121","36,8089740405","34,6921039169","29,8832077334","30,6322571058","32,4457605336","32,6163726911","28,6401788","28,1766473492","29,3047968271","29,9457257533","34,1306594456","37,3041915815","32,911453609","34,8171882298","36,5719307984","41,3273940052","42,7454391824","42,7479220274","42,4380054537","40,2754705195","34,678632811","36,8675593865","36,9081188543"
